         table_name         |         column_name          |        data_type         | prec |            defaut             
 companies                  | enriched_at                  | timestamp with time zone | 6    | (aucun)
 companies                  | first_info_at                | timestamp with time zone | 6    | (aucun)
 companies                  | last_seen_at                 | timestamp with time zone | 6    | (aucun)
 companies                  | updated_at                   | timestamp with time zone | 6    | now()
 companies                  | website_checked_at           | timestamp with time zone | 0    | (aucun)
 companies                  | website_revalidated_at       | timestamp with time zone | 6    | (aucun)
 company_tag                | assigned_at                  | timestamp with time zone | 6    | now()
 contacts                   | consent_at                   | timestamp with time zone | 6    | (aucun)
 contacts                   | created_at                   | timestamp with time zone | 6    | now()
 contacts                   | deleted_at                   | timestamp with time zone | 6    | (aucun)
 contacts                   | first_info_at                | timestamp with time zone | 6    | (aucun)
 contacts                   | last_verified_at             | timestamp with time zone | 6    | (aucun)
 contacts                   | updated_at                   | timestamp with time zone | 6    | now()
 countries                  | created_at                   | timestamp with time zone | 6    | now()
 coverage_zones             | attempted_at                 | timestamp with time zone | 6    | (aucun)
 coverage_zones             | completed_at                 | timestamp with time zone | 6    | (aucun)
 coverage_zones             | cooldown_until               | timestamp with time zone | 6    | (aucun)
 coverage_zones             | created_at                   | timestamp with time zone | 6    | now()
 crm_activites              | created_at                   | timestamp with time zone | 6    | now()
 crm_activites              | updated_at                   | timestamp with time zone | 6    | now()
 crm_motifs                 | created_at                   | timestamp with time zone | 6    | now()
 crm_motifs                 | updated_at                   | timestamp with time zone | 6    | now()
 crm_notes                  | created_at                   | timestamp with time zone | 6    | now()
 crm_outbound_events        | created_at                   | timestamp with time zone | 6    | now()
 crm_outbound_events        | next_attempt_at              | timestamp with time zone | 6    | (aucun)
